id,beacon1,beacon2,beacon3,location
844,-97,-67,-90,2
845,-81,-65,-94,2
846,-999,-999,-999,2
847,-78,-69,-92,2
848,-81,-65,-92,2
849,-91,-68,-90,2
850,-78,-69,-90,2
851,-81,-70,-93,2
852,-82,-65,-93,2
853,-93,-68,-92,2
854,-78,-70,-92,2
855,-82,-65,-92,2
856,-999,-999,-999,2
857,-78,-69,-91,2
858,-80,-65,-94,2
859,-90,-68,-92,2
860,-78,-69,-90,2
861,-98,-67,-91,2
862,-79,-69,-91,2
863,-81,-65,-96,2
864,-82,-69,-91,2
865,-81,-69,-92,2
866,-96,-68,-91,2
867,-78,-69,-91,2
868,-96,-68,-92,2
869,-999,-999,-999,2
870,-83,-65,-95,2
871,-92,-68,-92,2
872,-78,-69,-90,2
873,-82,-65,-94,2
874,-81,-69,-92,2
875,-80,-69,-88,2
876,-99,-68,-92,2
877,-81,-69,-90,2
878,-999,-999,-999,2
879,-96,-68,-92,2
880,-81,-65,-999,2
881,-82,-66,-97,2
882,-999,-999,-999,2
883,-81,-65,-96,2
884,-96,-68,-89,2
885,-81,-69,-92,2
886,-80,-65,-95,2
887,-80,-69,-90,2
888,-79,-65,-94,2
889,-91,-68,-92,2
890,-80,-70,-97,2
891,-79,-65,-96,2
892,-999,-999,-999,2
893,-80,-69,-93,2
894,-89,-68,-92,2
895,-79,-69,-91,2
896,-78,-65,-92,2
897,-88,-68,-92,2
898,-999,-999,-999,2
899,-83,-65,-94,2
900,-94,-68,-91,2
901,-78,-70,-91,2
902,-79,-65,-91,2
903,-999,-999,-999,2
904,-79,-70,-91,2
905,-80,-70,-92,2
906,-81,-65,-999,2
907,-92,-68,-91,2
908,-80,-69,-91,2
909,-999,-999,-999,2
910,-89,-68,-92,2
911,-80,-70,-91,2
912,-80,-65,-92,2
913,-91,-68,-92,2
914,-80,-65,-94,2
915,-999,-999,-999,2
916,-90,-68,-90,2
917,-79,-69,-92,2
918,-81,-65,-94,2
919,-80,-70,-91,2
920,-80,-70,-91,2
921,-94,-68,-92,2
922,-79,-70,-92,2
923,-91,-68,-91,2
924,-91,-68,-92,2
925,-82,-65,-95,2
926,-999,-999,-999,2
927,-93,-69,-91,2
928,-81,-65,-96,2
929,-90,-68,-90,2
930,-79,-69,-91,2
931,-79,-70,-91,2
932,-94,-65,-91,2
933,-80,-70,-90,2
934,-81,-65,-95,2
935,-79,-69,-92,2
936,-80,-69,-91,2
937,-96,-65,-90,2
938,-999,-999,-999,2
939,-80,-70,-89,2
940,-999,-999,-999,2
941,-92,-68,-90,2
942,-79,-70,-92,2
943,-80,-65,-91,2
944,-999,-999,-999,2
945,-80,-65,-999,2
946,-80,-65,-96,2
947,-79,-69,-94,2
948,-82,-65,-999,2
949,-999,-999,-999,2
950,-80,-70,-90,2
951,-999,-999,-999,2
952,-81,-66,-96,2
953,-90,-69,-90,2
954,-80,-69,-91,2
955,-91,-68,-92,2
956,-79,-69,-91,2
957,-80,-65,-96,2
958,-92,-68,-91,2
959,-81,-65,-999,2
960,-94,-68,-90,2
961,-80,-69,-91,2
962,-80,-65,-92,2
963,-82,-65,-94,2
964,-80,-70,-90,2
965,-79,-65,-92,2
966,-91,-68,-92,2
967,-79,-69,-91,2
968,-89,-68,-92,2
969,-80,-70,-92,2
970,-81,-65,-94,2
971,-79,-70,-91,2
972,-89,-68,-90,2
973,-91,-69,-90,2
974,-82,-65,-93,2
975,-89,-68,-91,2
976,-81,-65,-97,2
977,-83,-65,-91,2
978,-79,-69,-91,2
979,-80,-65,-97,2
980,-79,-69,-91,2
981,-78,-69,-91,2
982,-91,-65,-91,2
983,-90,-70,-94,2
984,-80,-69,-91,2
985,-82,-65,-93,2
986,-89,-68,-91,2
987,-999,-999,-999,2
988,-999,-999,-999,2
989,-90,-68,-91,2
990,-82,-64,-92,2
991,-91,-68,-90,2
992,-81,-65,-92,2
993,-82,-65,-92,2
994,-91,-68,-90,2
995,-82,-65,-94,2
996,-999,-999,-999,2
997,-79,-69,-91,2
998,-91,-68,-92,2
999,-80,-69,-92,2
1000,-89,-68,-92,2
1001,-80,-70,-92,2
1002,-90,-68,-92,2
1003,-90,-70,-91,2
1004,-999,-999,-999,2
1005,-80,-65,-91,2
1006,-78,-68,-91,2
1007,-92,-69,-92,2
1008,-94,-68,-92,2
1009,-82,-65,-93,2
1010,-92,-68,-91,2
1011,-83,-65,-92,2
1012,-89,-68,-91,2
1013,-79,-70,-92,2
1014,-999,-999,-999,2
1015,-80,-70,-91,2
1016,-79,-65,-90,2
1017,-79,-65,-90,2
1018,-80,-69,-89,2
1019,-999,-999,-999,2
1020,-90,-67,-91,2
1021,-62,-78,-999,1
1022,-62,-75,-999,1
1023,-999,-78,-999,1
1024,-67,-85,-999,1
1025,-74,-78,-999,1
1026,-999,-999,-999,1
1027,-67,-95,-999,1
1028,-70,-81,-999,1
1029,-67,-88,-999,1
1030,-999,-999,-999,1
1031,-68,-999,-999,1
1032,-69,-78,-999,1
1033,-67,-87,-999,1
1034,-67,-78,-999,1
1035,-999,-999,-999,1
1036,-76,-78,-999,1
1037,-999,-999,-999,1
1038,-69,-79,-999,1
1039,-69,-96,-999,1
1040,-999,-999,-999,1
1041,-67,-84,-999,1
1042,-66,-78,-999,1
1043,-69,-80,-999,1
1044,-67,-87,-999,1
1045,-999,-999,-999,1
1046,-65,-79,-999,1
1047,-65,-89,-999,1
1048,-69,-80,-999,1
1049,-69,-80,-999,1
1050,-999,-999,-999,1
1051,-66,-81,-999,1
1052,-69,-80,-999,1
1053,-67,-90,-999,1
1054,-65,-82,-999,1
1055,-999,-999,-999,1
1056,-999,-999,-999,1
1057,-68,-85,-999,1
1058,-999,-999,-999,1
1059,-65,-80,-999,1
1060,-68,-81,-999,1
1061,-68,-84,-999,1
1062,-68,-85,-999,1
1063,-65,-80,-999,1
